Course,Category,Course Code, Course Price ,Discount to Upfront Payment Course Fees, Upfront Payment of Course Fee ,Discount to Payment Plan Course Fees, Payment Plan Course Fee ,Installment Frequency, Installment Amount ,Number of Installments, Final Installment ,,,,,,,
Certificate in Psychology & Counselling,Wellbeing and Psychology,PSY101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Disability Support,Wellbeing and Psychology,PSY102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Development & Behavioural Support,Wellbeing and Psychology,PSY103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Aged Care & Counselling,Wellbeing and Psychology,PSY104," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Health & Wellbeing,Wellbeing and Psychology,PSY105," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Family Wellbeing,Wellbeing and Psychology,PSY106," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Mental Health,Wellbeing and Psychology,PSY107," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Life Coaching,Wellbeing and Psychology,PSY108," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Child Psychology & Counselling,Wellbeing and Psychology,PSY109," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Stress Management & Emotional Intelligence,Wellbeing and Psychology,PSY110," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Offender Rehabilitation,Wellbeing and Psychology,PSY111," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Criminal Psychology,Wellbeing and Psychology,PSY112," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Psychology & Counselling,Wellbeing and Psychology,PSY113," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Aged Care & Disability Support,Wellbeing and Psychology,PSY114," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Child & Youth Counselling,Wellbeing and Psychology,PSY115," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Health Care & Wellbeing,Wellbeing and Psychology,PSY116," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
"Manicure & Pedicure, Nail Technology",Beauty,BEA101," 4,025.00 ",20.14%," 3,214.25 ",0%," 4,025.00 ", Weekly , 25.00 ,161, -   ,,,,,,,
"Manicure & Pedicure, Nail Technology, Nail Art & Design",Beauty,BEA102," 5,175.00 ",20.11%," 4,134.25 ",0%," 5,175.00 ", Weekly , 25.00 ,207, -   ,,,,,,,
Eyelash Business Bundle + Kit,Beauty,BEA103," 3,726.00 ",19.91%," 2,984.25 ",0%," 3,726.00 ", Weekly , 25.00 ,149, 1.00 ,,,,,,,
Brow Mastery Course + Deluxe Kit,Beauty,BEA104," 3,105.00 ",22.41%," 2,409.25 ",0%," 3,105.00 ", Weekly , 25.00 ,124, 5.00 ,,,,,,,
Makeup Artistry + Standard Kit,Beauty,BEA105," 3,105.00 ",22.41%," 2,409.25 ",0%," 3,105.00 ", Weekly , 25.00 ,124, 5.00 ,,,,,,,
Certificate in Business Administration,Administration,ADM101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Reception & Office Support,Administration,ADM102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Medical Reception & Office Support,Administration,ADM103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Legal Reception & Office Support,Administration,ADM104," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Business Administration,Administration,ADM105," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Small Business Management,Business,BUS101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Small Business Startup Program,Business,BUS102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Business,Business,BUS103," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Digital Marketing,Sales and Marketing,MAR101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Sales Skills,Sales and Marketing,MAR102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Diploma in Sales & Team Leadership,Sales and Marketing,MAR103," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Diploma in Digital Marketing Management,Sales and Marketing,MAR104," 4,249.25 ",18.94%," 3,444.25 ",0%," 4,249.25 ", Weekly , 25.00 ,169, 24.25 ,,,,,,,
Certificate in Management Fundamentals,Management,MAN101," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Human Resource Management,Management,MAN102," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
Certificate in Workplace Health & Safety Management,Management,MAN103," 1,834.25 ",12.54%," 1,604.25 ",0%," 1,834.25 ", Weekly , 25.00 ,73, 9.25 ,,,,,,,
